web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates-link,coordinates-link-href,coordinates
"1625383251-431","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Armadale","https://en.wikipedia.org/wiki/Armadale_railway_station,_Melbourne","37°51′23″S 145°01′09″E﻿ / ﻿37.8563°S 145.0193°E﻿ / -37.8563; 145.0193","https://geohack.toolforge.org/geohack.php?pagename=Armadale_railway_station,_Melbourne&params=37.8563_S_145.0193_E_region:AU-VIC_type:railwaystation","-37.8563"
"1625382428-121","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Preston","https://en.wikipedia.org/wiki/Preston_railway_station,_Melbourne","37°44′19″S 145°00′02″E﻿ / ﻿37.7387°S 145.0006°E﻿ / -37.7387; 145.0006","https://geohack.toolforge.org/geohack.php?pagename=Preston_railway_station,_Melbourne&params=37.7387_S_145.0006_E_type:railwaystation_region:AU-VIC","-37.7387"
"1625382417-117","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Reservoir","https://en.wikipedia.org/wiki/Reservoir_railway_station","37°43′00″S 145°00′26″E﻿ / ﻿37.7168°S 145.0071°E﻿ / -37.7168; 145.0071","https://geohack.toolforge.org/geohack.php?pagename=Reservoir_railway_station&params=37.7168_S_145.0071_E_type:railwaystation_region:AU-VIC","-37.7168"
"1625382749-244","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Hurstbridge","https://en.wikipedia.org/wiki/Hurstbridge_railway_station","37°38′21″S 145°11′32″E﻿ / ﻿37.6393°S 145.1921°E﻿ / -37.6393; 145.1921","https://geohack.toolforge.org/geohack.php?pagename=Hurstbridge_railway_station&params=37.6393_S_145.1921_E_type:railwaystation_region:AU-VIC","145.1921"
"1625383037-352","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Crib Point","https://en.wikipedia.org/wiki/Crib_Point_railway_station","38°21′58″S 145°12′15″E﻿ / ﻿38.3660°S 145.2041°E﻿ / -38.3660; 145.2041","https://geohack.toolforge.org/geohack.php?pagename=Crib_Point_railway_station&params=38.366_S_145.2041_E_type:railwaystation_region:AU-VIC","145.2041"
"1625382999-338","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Diamond Creek","https://en.wikipedia.org/wiki/Diamond_Creek_railway_station","37°40′24″S 145°09′31″E﻿ / ﻿37.6733°S 145.1585°E﻿ / -37.6733; 145.1585","https://geohack.toolforge.org/geohack.php?pagename=Diamond_Creek_railway_station&params=37.6733_S_145.1585_E_type:railwaystation_region:AU-VIC","145.1585"
"1625382268-61","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Sunbury","https://en.wikipedia.org/wiki/Sunbury_railway_station,_Melbourne","37°34′45″S 144°43′40″E﻿ / ﻿37.5792°S 144.7279°E﻿ / -37.5792; 144.7279","https://geohack.toolforge.org/geohack.php?pagename=Sunbury_railway_station,_Melbourne&params=37.5792_S_144.7279_E_region:AU-VIC_type:railwaystation","-37.5792"
"1625382517-156","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Noble Park","https://en.wikipedia.org/wiki/Noble_Park_railway_station","37°58′03″S 145°10′38″E﻿ / ﻿37.9676°S 145.1773°E﻿ / -37.9676; 145.1773","https://geohack.toolforge.org/geohack.php?pagename=Noble_Park_railway_station&params=37.9676_S_145.1773_E_type:railwaystation_region:AU-VIC","145.1773"
"1625382485-144","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Nunawading","https://en.wikipedia.org/wiki/Nunawading_railway_station","37°49′13″S 145°10′38″E﻿ / ﻿37.8204°S 145.1771°E﻿ / -37.8204; 145.1771","https://geohack.toolforge.org/geohack.php?pagename=Nunawading_railway_station&params=37.8204_S_145.1771_E_type:railwaystation_region:AU-VIC","145.1771"
"1625383048-355","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Craigieburn","https://en.wikipedia.org/wiki/Craigieburn_railway_station","37°36′10″S 144°56′35″E﻿ / ﻿37.602842°S 144.942927°E﻿ / -37.602842; 144.942927","https://geohack.toolforge.org/geohack.php?pagename=Craigieburn_railway_station&params=37.602842_S_144.942927_E_region:AU-VIC_type:railwaystation","-37.602842"
